


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.078
                                                                     (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        3 -38.90           12          0.03           -3.24      58.20       0.58   Envelopes30_SignalMethod=37; MaxOrders=0; MaxOrdersPerType=0;
       69 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=32; MaxOrders=0; MaxOrdersPerType=0;
       59 -40.70           13          0.03           -3.13      60.00       0.60    Envelopes30_SignalMethod=8; MaxOrders=0; MaxOrdersPerType=0;
       57 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-90; MaxOrders=0; MaxOrdersPerType=0;
       52 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-96; MaxOrders=0; MaxOrdersPerType=0;
       51 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=46; MaxOrders=0; MaxOrdersPerType=0;
       48 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=108; MaxOrders=0; MaxOrdersPerType=0;
       47 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=66; MaxOrders=0; MaxOrdersPerType=0;
       45 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=98; MaxOrders=0; MaxOrdersPerType=0;
       44 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-84; MaxOrders=0; MaxOrdersPerType=0;
       42 -40.70           13          0.03           -3.13      60.00       0.60 Envelopes30_SignalMethod=-120; MaxOrders=0; MaxOrdersPerType=0;
       39 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=12; MaxOrders=0; MaxOrdersPerType=0;
       38 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-92; MaxOrders=0; MaxOrdersPerType=0;
       35 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=78; MaxOrders=0; MaxOrdersPerType=0;
       32 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-94; MaxOrders=0; MaxOrdersPerType=0;
       29 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-63; MaxOrders=0; MaxOrdersPerType=0;
       28 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-56; MaxOrders=0; MaxOrdersPerType=0;
       23 -40.70           13          0.03           -3.13      60.00       0.60 Envelopes30_SignalMethod=-118; MaxOrders=0; MaxOrdersPerType=0;
       18 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=100; MaxOrders=0; MaxOrdersPerType=0;
       16 -40.70           13          0.03           -3.13      60.00       0.60  Envelopes30_SignalMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
       12 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=76; MaxOrders=0; MaxOrdersPerType=0;
       10 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=14; MaxOrders=0; MaxOrdersPerType=0;
        7 -40.70           13          0.03           -3.13      60.00       0.60   Envelopes30_SignalMethod=10; MaxOrders=0; MaxOrdersPerType=0;
        1 -40.70           13          0.03           -3.13      60.00       0.60 Envelopes30_SignalMethod=-126; MaxOrders=0; MaxOrdersPerType=0;
       66 -42.50           14          0.03           -3.04      61.80       0.62  Envelopes30_SignalMethod=-64; MaxOrders=0; MaxOrdersPerType=0;
       67 -83.10            3          0.00          -27.70     136.00       1.35  Envelopes30_SignalMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
