


                                                                 Optimization Report
                                                               EA31337-Lite-v1.079-dev
                                                                     (Build 1260)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2019.06.02 21:01 - 2019.12.30 23:30 (2019.06.01 - 2019.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 100000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          48   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=16; MaxOrders=0; MaxOrdersPerType=0;
          49   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=0;
          50   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=0;
          51   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=0;
          52   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=20; MaxOrders=0; MaxOrdersPerType=0;
          53   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=21; MaxOrders=0; MaxOrdersPerType=0;
          54   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=0;
          55   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=0;
          56   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=24; MaxOrders=0; MaxOrdersPerType=0;
          57   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=25; MaxOrders=0; MaxOrdersPerType=0;
          58   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=0;
          59   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=0;
          60   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=28; MaxOrders=0; MaxOrdersPerType=0;
          61   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=29; MaxOrders=0; MaxOrdersPerType=0;
          62   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=0;
          63   9.90            6          2.05            1.65      39.70       0.04  MACD1_SignalMethod=31; MaxOrders=0; MaxOrdersPerType=0;
